LineNum,Prices,Estimates,ClassicResidual,KalmanResidual,CorrectedKalmanResidual
0,100.0000000000,100.0010000050,-0.0010000050,-0.0010000050,-0.0010000050,
1,102.6700000000,100.0010000050,2.6689999950,16966.6220389308,17091.8077711677,
2,100.6600000000,102.6619052147,-2.0019268662,-11902.8140924834,-11912.1674231307,
3,100.8100000000,100.6515318720,0.1584626459,946.7545375562,955.7447748014,
4,100.6500000000,100.8015590720,-0.1515658049,-901.2674989792,-940.0457564289,
5,101.3000000000,100.6415335976,0.6584608178,3995.9162943885,4046.5521342765,
6,100.4500000000,101.2916455635,-0.8416560295,-4974.2911423159,-4942.9336261861,
7,99.9100000000,100.4414998042,-0.5315041814,-3091.0035914881,-3064.0810922869,
8,99.4400000000,99.9014118488,-0.4614124498,-2646.9262230312,-2647.4261115682,
9,99.4400000000,99.4313377288,0.0086648858,49.7176921740,54.9908553797,
10,99.3400000000,99.4313395655,-0.0913370179,-522.6728518692,-491.4020489282,
11,98.7900000000,99.3313256218,-0.5413224762,-3049.7396916980,-3201.0402344043,
12,101.4700000000,98.7812414425,2.6887652083,16368.9152430187,16365.4162496795,
13,101.5200000000,101.4616586290,0.0583314680,355.7495489129,374.5038526426,
14,101.2000000000,101.5116690312,-0.3116792763,-1882.3065440020,-1937.4605744944,
15,102.1200000000,101.1916151983,0.9283762556,5771.0905315497,5809.6718135960,
16,101.4800000000,102.1117749738,-0.6317884175,-3848.6613955383,-3815.4522178308,
17,100.9200000000,101.4716625854,-0.5516728958,-3303.4083260453,-3296.1898244870,
18,100.7900000000,100.9115677995,-0.1215753937,-725.2776770394,-850.5365117886,
19,102.9200000000,100.7815477419,2.1384452448,13624.3167593790,13716.0995186693,
20,101.4400000000,102.9119085216,-1.4719251952,-8937.7651718463,-8990.1208730527,
21,102.3100000000,101.4316386124,0.8783506181,5480.7777905704,5655.3107519490,
22,99.4800000000,102.3017897638,-2.8218041386,-16124.3423087882,-16188.8162762459,
23,100.6000000000,99.4712944035,1.1287023733,6659.8076354954,6787.9757738906,
24,98.4300000000,100.5914693198,-2.1614774238,-11980.6668251153,-11994.1034267973,
25,98.6600000000,98.4211238978,0.2388768020,1332.5849495414,1301.0726975928,
26,99.2100000000,98.6511591120,0.5588405503,3165.2757071602,3363.4720580899,
27,95.7900000000,99.2012417013,-3.4112443142,-17620.6114791223,-17674.2228773901,
28,96.7800000000,95.7807411940,0.9992699178,5290.0225203179,5195.1897172816,
29,98.5200000000,96.7708681510,1.7491384726,9681.0897142858,9738.1913128882,
30,97.5000000000,98.5111017697,-1.0111021579,-5448.4541081402,-5461.6506743232,
31,97.7300000000,97.4909585998,0.2390445802,1296.0401284591,1172.6748643362,
32,99.9700000000,97.7209918016,2.2490105277,12933.7537186332,12889.6994899417,
33,100.7300000000,99.9613056896,0.7686895070,4516.7613404913,4662.1409246413,
34,98.2600000000,100.7214242044,-2.4614308057,-13495.5501920687,-13488.2326636651,
35,98.1200000000,98.2510401143,-0.1310414944,-716.0147841827,-715.4008247548,
36,98.1000000000,98.1110224914,-0.0110235107,-60.2144328393,-66.8358757494,
37,98.2100000000,98.0910216112,0.1189774014,651.8876280991,706.8996089063,
38,97.2200000000,98.2010386933,-0.9810399641,-5241.0556743199,-5212.3518126048,
39,96.6900000000,97.2109041922,-0.5209032259,-2746.8688784962,-2683.7221286095,
40,95.5300000000,96.6808365455,-1.1508343051,-5900.4053599079,-5858.8710502590,
41,94.7500000000,95.5206910994,-0.7706859825,-3880.1165952671,-3979.5338765284,
42,96.6300000000,94.7405995949,1.8894076092,9941.6802263534,9926.4985037951,
43,96.9000000000,96.6208222986,0.2791800105,1479.0227055678,1539.0062039495,
44,95.8000000000,96.8908585868,-1.0908567965,-5627.1779804170,-5606.0941982663,
45,95.4000000000,95.7907202213,-0.3907165533,-1996.9458320179,-1995.8382579332,
46,95.3700000000,95.3906737938,-0.0206693658,-105.5892731978,-160.4353430269,
47,96.3900000000,95.3606722253,1.0293322544,5386.9750146185,5391.3639152942,
48,96.3000000000,96.3807960096,-0.0807931940,-422.0047760552,-536.2451579837,
49,98.4200000000,96.2907867502,2.1292161671,11709.8061236869,11774.5105747073,
50,97.2600000000,98.4110553772,-1.1510542345,-6148.3996111873,-6230.6509989725,
51,98.7600000000,97.2508991925,1.5091019363,8367.3844166080,8338.8841949853,
52,99.2600000000,98.7510971190,0.5089037696,2858.8345114315,2906.0768211281,
53,98.4200000000,99.2511687080,-0.8311674862,-4569.5036586873,-4485.5692245267,
54,96.9200000000,98.4110515475,-1.4910511415,-7896.2265977984,-7942.4266608025,
55,97.7600000000,96.9108508949,0.8491485705,4590.2128978228,4514.4843806887,
56,99.1300000000,97.7509594651,1.3790402000,7714.7818173313,7684.4515162997,
57,99.6600000000,99.1211431157,0.5388577350,3056.7316723843,3073.3334242996,
58,99.3600000000,99.6512196024,-0.2912178397,-1639.3936620886,-1800.1950410652,
59,102.2300000000,99.3511782599,2.8788228840,17484.7195906245,17338.6396851817,
60,104.7100000000,102.2215941703,2.4884138461,16250.6115938788,16275.7326106100,
61,104.3000000000,104.7020042310,-0.4019851331,-2592.0040350273,-2519.1384474719,
62,103.1200000000,104.2919308218,-1.1719143498,-7289.5795492621,-7378.1242560532,
63,104.5900000000,103.1117223282,1.4782869596,9608.1464905712,9547.6459061899,
64,105.5600000000,104.5819734550,0.9780438772,6555.1895764401,6524.9141031864,
65,106.0300000000,105.5521513216,0.4778727522,3253.0951337940,3060.7877295632,
66,109.0600000000,106.0222421878,3.0377856955,22953.5974761461,22887.5635481112,
67,110.0100000000,109.0528409306,0.9572146769,7509.1357822689,7573.0785853725,
68,109.1100000000,110.0030585653,-0.8929903963,-6755.3759664693,-6603.9076113631,
69,106.9400000000,109.1028452701,-2.1627904669,-15079.1754593138,-15119.9803249420,
70,107.5600000000,106.9323594185,0.6276670660,4471.2048913526,4454.1671164993,
71,107.8100000000,107.5524852017,0.2575475544,1851.2282672970,1795.6025543271,
72,108.6400000000,107.8025382074,0.8374973306,6203.3626300674,6164.1020176406,
73,109.2100000000,108.6327137331,0.5773315184,4369.3977076043,4453.9197483059,
74,107.9900000000,109.2028398039,-1.2127870588,-8766.2727247417,-8715.7229047362,
75,107.2300000000,107.9825676988,-0.7525320158,-5295.8255828401,-5282.5299702974,
76,107.0200000000,107.2224099245,-0.2023834173,-1414.2892793703,-1213.4100138911,
77,103.9800000000,107.0123690119,-3.0323448293,-19180.8209072808,-19167.3137279366,
78,103.7500000000,103.9717746467,-0.2217828414,-1393.7320985753,-1352.9082836490,
79,103.0700000000,103.7417374187,-0.6717472671,-4140.3397508066,-4105.4565544850,
80,102.4800000000,103.0616260666,-0.5816408017,-3526.8634205452,-3552.1635378275,
81,102.9000000000,102.4715330262,0.4284482920,2628.6895293255,2652.6845514533,
82,102.4900000000,102.8916003628,-0.4016162654,-2436.6017788484,-2594.8616484118,
83,105.1900000000,102.4815368326,2.7084444640,17724.6697073703,17841.5553481907,
84,103.3200000000,105.1819656782,-1.8619651920,-11525.1267287877,-11354.3357726013,
85,100.5000000000,103.3116390706,-2.8116560198,-16110.0015549368,-16058.9594027593,
86,99.6000000000,100.4911944073,-0.8912320047,-4993.4703369946,-5001.8402541651,
87,99.7400000000,99.5910715999,0.1488862107,837.2174683645,1014.8468634647,
