LineNum,Prices,Estimates,ClassicResidual,KalmanResidual,CorrectedKalmanResidual
0,100.0000000000,100.0010000050,-0.0010000050,-0.0010000050,-0.0010000050,
1,102.6700000000,100.0010000050,2.6689999950,8148.8292399922,8208.6944070470,
2,100.6600000000,102.6594524608,-1.9931923170,-9726.0621806263,-9733.8277325580,
3,100.8100000000,100.6481169788,0.1603033430,763.2699513970,770.3336160134,
4,100.6500000000,100.7973826584,-0.1494274712,-740.4719903372,-772.8703762241,
5,101.3000000000,100.6369912519,0.6601394620,2967.3643769489,3004.7419390430,
6,100.4500000000,101.2867066555,-0.8387501594,-4388.4188433309,-4360.7151911701,
7,99.9100000000,100.4366531427,-0.5304211338,-2993.4469995812,-2967.3346469517,
8,99.4400000000,99.8966444904,-0.4611704608,-2731.4946031738,-2731.9932284450,
9,99.4400000000,99.4266651801,0.0083710176,49.5957758301,55.0582542712,
10,99.3400000000,99.4266585433,-0.0916321086,-546.2991773480,-513.6978318135,
11,98.7900000000,99.3266646805,-0.5416934854,-3317.1446852383,-3481.5538150317,
12,101.4700000000,98.7767183669,2.6880405795,14967.5382171800,14964.2964095007,
13,101.5200000000,101.4564641990,0.0590878086,328.7018734846,345.7657689653,
14,101.2000000000,101.5064209726,-0.3108999499,-1776.5178510585,-1828.7282196231,
15,102.1200000000,101.1864302250,0.9288296246,5071.4834115701,5105.3114966836,
16,101.4800000000,102.1063327332,-0.6306740465,-3614.4300746223,-3583.2151340879,
17,100.9200000000,101.4663768646,-0.5511732638,-3237.3607884396,-3230.2882730001,
18,100.7900000000,100.9064317684,-0.1214366808,-715.8029256972,-839.5710950579,
19,102.9200000000,100.7764533188,2.1385214766,12317.2380414739,12400.1658245355,
20,101.4400000000,102.9062513384,-1.4710918906,-9122.7158841670,-9176.1730480682,
21,102.3100000000,101.4263664921,0.8781508469,5461.3857608268,5635.3406227103,
22,99.4800000000,102.2962877078,-2.8218019512,-17922.3030234172,-17993.9087483170,
23,100.6000000000,99.4665570576,1.1278013451,7608.3142819900,7754.9268660377,
24,98.4300000000,100.5864854412,-2.1625724150,-12917.8793044095,-12932.3191064478,
