LineNum,Prices,Estimates,ClassicResidual,KalmanResidual,CorrectedKalmanResidual
0,100.0000000000,100.0010000050,-0.0010000050,-0.0010000050,-0.0010000050,
1,102.6700000000,100.0010000050,2.6689999950,16533.5664914366,16655.5442302722,
2,100.6600000000,102.6618478409,-2.0017154566,-11829.1337300614,-11838.4331847988,
3,100.8100000000,100.6515162536,0.1585144408,939.9071100597,948.8256324633,
4,100.6500000000,100.8015375400,-0.1515016061,-895.4187047648,-933.9646678446,
5,101.3000000000,100.6415134709,0.6585124523,3947.3072377260,3997.3170688997,
6,100.4500000000,101.2916064450,-0.8415526531,-4952.6199808670,-4921.3973579499,
7,99.9100000000,100.4414808333,-0.5314680811,-3093.3482456062,-3066.4030800573,
8,99.4400000000,99.9014055807,-0.4614195627,-2660.7781908932,-2661.2780783757,
9,99.4400000000,99.4313429323,0.0086198932,49.7152811692,55.0182973611,
10,99.3400000000,99.4313430200,-0.0913816021,-526.0972816788,-494.6339254541,
11,98.7900000000,99.3313303714,-0.5413747720,-3084.0837334257,-3237.0677557233,
12,101.4700000000,98.7812618314,2.6886684225,16149.3653277362,16145.9064573178,
13,101.5200000000,101.4615921160,0.0584443655,351.4993924533,369.9869201305,
14,101.2000000000,101.5115978974,-0.3115624357,-1860.9122677874,-1915.4653593463,
15,102.1200000000,101.1915527116,0.9284693124,5660.6886150750,5698.5184306904,
16,101.4800000000,102.1116759263,-0.6316275113,-3795.5391297598,-3762.7867580582,
17,100.9200000000,101.4715852066,-0.5515585776,-3274.3583698198,-3267.2061536220,
18,100.7900000000,100.9115095471,-0.1215024826,-719.4332464513,-843.7610069039,
19,102.9200000000,100.7814920741,2.1385086739,13270.1398627660,13359.5209885867,
20,101.4400000000,102.9117642516,-1.4717095481,-8818.7357110209,-8870.4083100718,
21,102.3100000000,101.4315564145,0.8784620001,5367.9640803724,5538.8725194524,
22,99.4800000000,102.3016671836,-2.8216309409,-16188.9882536959,-16253.7226460455,
23,100.6000000000,99.4712977606,1.1286670318,6621.1151836596,6748.5397909660,
24,98.4300000000,100.5914234463,-2.1614279710,-12140.3967434462,-12154.0061182830,
25,98.6600000000,98.4211730703,0.2387597647,1346.9291768381,1315.0677390323,
26,99.2100000000,98.6511972064,0.5587420637,3184.8965185648,3384.3597857379,
27,95.7900000000,99.2012542460,-3.4112998543,-18275.6530930118,-18331.2379991535,
28,96.7800000000,95.7809084092,0.9989378018,5436.7277081026,5339.2465939227,
29,98.5200000000,96.7709936244,1.7488888965,9801.8229025835,9859.6511777347,
30,97.5000000000,98.5111502232,-1.0112130731,-5566.3489912170,-5579.8188648721,
31,97.7300000000,97.4910537405,0.2388539412,1320.1874066651,1194.4330789836,
32,99.9700000000,97.7210755143,2.2488386095,12935.8631633064,12891.7985066638,
33,100.7300000000,99.9612820453,0.7686873260,4489.2158727005,4633.7062290054,
34,98.2600000000,100.7213594500,-2.4613783682,-13692.5962330120,-13685.1643904012,
35,98.1200000000,98.2511059654,-0.1311706741,-728.0238838538,-727.3923535226,
36,98.1000000000,98.1110943105,-0.0111629519,-61.9449976993,-68.6637048947,
37,98.2100000000,98.0910934218,0.1188369099,660.8215007940,716.6607824931,
38,97.2200000000,98.2011037840,-0.9811716156,-5363.9326805874,-5334.5481403334,
39,96.6900000000,97.2110203684,-0.5211104864,-2824.4271550134,-2759.5093568364,
40,95.5300000000,96.6809795743,-1.1510825037,-6125.4630993806,-6082.3348950286,
41,94.7500000000,95.5208938041,-0.7710262947,-4055.6782308351,-4159.5255378897,
42,96.6300000000,94.7408419776,1.8890043224,10220.5536237266,10204.9568443579,
