LineNum,Prices,Estimates,ClassicResidual,KalmanResidual,CorrectedKalmanResidual
0,100.0000000000,100.0010000050,-0.0010000050,-0.0010000050,-0.0010000050,
1,102.6700000000,100.0010000050,2.6689999950,12264.5329774121,12354.8864854750,
2,100.6600000000,102.6618118923,-1.9988315433,-10910.3374824366,-10918.9650931761,
3,100.8100000000,100.6514865591,0.1592168341,863.8863263779,872.0049929514,
4,100.6500000000,100.8014805692,-0.1507147736,-831.9562117104,-867.9900729148,
5,101.3000000000,100.6414403797,0.6591114910,3512.4246220411,3556.8290069440,
6,100.4500000000,101.2914775039,-0.8405011573,-4733.8871821966,-4704.0274295990,
7,99.9100000000,100.4413826307,-0.5310890066,-3085.9323741822,-3059.0331849705,
8,99.4400000000,99.9013256231,-0.4614098390,-2742.2940606393,-2742.7936222394,
9,99.4400000000,99.4312817678,0.0083580457,49.8561686851,55.3582932035,
10,99.3400000000,99.4312665565,-0.0916728471,-550.1714525380,-517.3512767787,
11,98.7900000000,99.3312479553,-0.5417321476,-3293.5977182757,-3456.8327393872,
12,101.4700000000,98.7812178493,2.6881154881,15379.4092927041,15376.0911697727,
13,101.5200000000,101.4612647844,0.0588608349,337.6191260337,355.2281017741,
14,101.2000000000,101.5112456502,-0.3111578695,-1814.1324700510,-1867.3949615815,
15,102.1200000000,101.1912215904,0.9286708937,5280.4897397781,5315.7376853798,
16,101.4800000000,102.1112095277,-0.6310280864,-3676.0910525200,-3644.3542082041,
17,100.9200000000,101.4711878380,-0.5512986622,-3262.3851259011,-3255.2568997386,
18,100.7900000000,100.9111722059,-0.1214820807,-722.8765075771,-847.8173908140,
19,102.9200000000,100.7811571046,2.1384595761,12308.0293236920,12390.8961252834,
20,101.4400000000,102.9111095780,-1.4710671986,-8835.9159921931,-8887.7102789853,
21,102.3100000000,101.4311163930,0.8784352228,5215.7623992863,5381.8162210754,
22,99.4800000000,102.3010795834,-2.8213933186,-17282.0415996469,-17351.1182858869,
23,100.6000000000,99.4711404347,1.1281102847,6925.6972949163,7059.0731138377,
24,98.4300000000,100.5910911072,-2.1618161651,-13210.2908662246,-13225.0524504855,
25,98.6600000000,98.4211568418,0.2380433252,1463.5179958666,1428.8399029232,
26,99.2100000000,98.6511374022,0.5580130638,3462.4345033871,3679.6074567123,
27,95.7900000000,99.2011031942,-3.4120158437,-19495.8094880836,-19555.0591825097,
28,96.7800000000,95.7812542609,0.9983705161,5851.0169351378,5746.0868994945,
29,98.5200000000,96.7711975819,1.7482459113,10408.3657401725,10469.8266217650,
30,97.5000000000,98.5110984596,-1.0117354875,-6049.8581783343,-6064.4468834599,
31,97.7300000000,97.4911456852,0.2381424216,1431.5240673071,1294.8012430114,
32,99.9700000000,97.7211250148,2.2481187581,13383.5522807751,13337.9658416276,
33,100.7300000000,99.9609851938,0.7683880867,4499.5965312481,4644.4790903787,
34,98.2600000000,100.7209299039,-2.4614074327,-15182.2448271223,-15173.9497187999,
35,98.1200000000,98.2510742053,-0.1320441541,-816.9463782767,-816.1845708143,
36,98.1000000000,98.1110757474,-0.0120799906,-74.9339571941,-82.3850761612,
37,98.2100000000,98.0910698514,0.1178974272,733.7065261422,796.2586824208,
38,97.2200000000,98.2010553460,-0.9821194187,-6046.5986740989,-6013.4427085061,
39,96.6900000000,97.2111172571,-0.5221151982,-3185.7577805389,-3112.6124652030,
40,95.5300000000,96.6811488463,-1.1520878562,-6794.2342846812,-6746.3844256586,
41,94.7500000000,95.5212274281,-0.7719124543,-4438.3255521492,-4551.7930617965,
42,96.6300000000,94.7412803472,1.8882270175,11448.5391179704,11431.1220257415,
43,96.9000000000,96.6211349221,0.2779584807,1695.3442998247,1764.4792926086,
44,95.8000000000,96.8911093084,-1.0920666122,-6561.3569595150,-6536.7173374289,
45,95.4000000000,95.7911888334,-0.3920384884,-2341.3110675215,-2339.9320530704,
46,95.3700000000,95.3912155547,-0.0220242095,-131.9484997709,-196.1831538355,
47,96.3900000000,95.3612137149,1.0279479549,6330.2112356864,6335.4644399660,
48,96.3000000000,96.3811283062,-0.0821842796,-506.6962169277,-641.4508264170,
49,98.4200000000,96.2911311736,2.1277990098,13321.2723335123,13394.9998196891,
50,97.2600000000,98.4109550958,-1.1521481318,-7318.8112710102,-7416.5320230253,
51,98.7600000000,97.2510450018,1.5076462635,9461.5624165438,9429.3705086355,
52,99.2600000000,98.7509171436,0.5078602039,3160.2776939084,3212.6629136699,
53,98.4200000000,99.2508710225,-0.8320326611,-5260.2812498490,-5163.6833854315,
54,96.9200000000,98.4109364161,-1.4922252622,-9444.6702038088,-9499.7884925124,
55,97.7600000000,96.9110582471,0.8476466586,5400.8394878336,5311.6693405188,
56,99.1300000000,97.7509832529,1.3776621978,8719.5917916178,8685.3429360099,
57,99.6600000000,99.1208627121,0.5378225909,3379.8860346255,3398.3325641186,
58,99.3600000000,99.6508132254,-0.2920793034,-1847.2291902936,-2027.8197419949,
59,102.2300000000,99.3508348150,2.8778463556,16941.9026779150,16800.2947099787,
60,104.7100000000,102.2205832229,2.4886763014,12902.1890519063,12922.0289170256,
61,104.3000000000,104.7003642110,-0.3999072651,-2135.8952742104,-2075.6253115138,
62,103.1200000000,104.2903949505,-1.1702424743,-6654.8188265265,-6735.8113356270,
63,104.5900000000,103.1104932159,1.4790593467,7962.9386888206,7912.7382619120,
64,105.5600000000,104.5803601944,0.9797061444,5096.0333681488,5072.4253133803,
65,106.0300000000,105.5502705610,0.4801394142,2468.7971411743,2323.4205852710,
66,109.0600000000,106.0202246703,3.0403026645,13966.7814608994,13926.4386542275,
67,110.0100000000,109.0499526407,0.9618629458,4288.0042429306,4324.1259251738,
68,109.1100000000,109.9998637841,-0.8876692250,-4146.3728918598,-4053.0370386145,
69,106.9400000000,109.0999389025,-2.1583291356,-10933.7371449452,-10963.5218117272,
70,107.5600000000,106.9301276467,0.6305455833,3172.5084355782,3160.3280953859,
71,107.8100000000,107.5500681348,0.2606793236,1315.1683184174,1275.9762058937,
72,108.6400000000,107.8000416564,0.8406745739,4202.3099961476,4175.6521941189,
73,109.2100000000,108.6299631717,0.5808567757,2893.4868301165,2948.9484684216,
74,107.9900000000,109.1999079294,-1.2090483944,-6205.6634295304,-6169.9129933940,
75,107.2300000000,107.9800138924,-0.7494911008,-3903.0762380890,-3893.3670312044,
76,107.0200000000,107.2200787887,-0.1997160942,-1048.6411737847,-897.8315237346,
77,103.9800000000,107.0100942325,-3.0298208042,-15609.5958866224,-15598.6866265820,
78,103.7500000000,103.9703663820,-0.2199219463,-1138.2032948842,-1104.6697289276,
79,103.0700000000,103.7403841796,-0.6699902298,-3447.2950871271,-3418.2567829610,
80,102.4800000000,103.0604430530,-0.5799979501,-2965.0959845498,-2986.5043331202,
81,102.9000000000,102.4704939530,0.4300086815,2241.0345825341,2261.3421249580,
82,102.4900000000,102.8904528853,-0.4001418159,-2078.4060478369,-2213.9694730594,
83,105.1900000000,102.4804876466,2.7098515563,14806.0373863280,14903.5432703852,
84,103.3200000000,105.1802380991,-1.8603849758,-10149.3225508064,-9998.8506848468,
85,100.5000000000,103.3104066226,-2.8105427391,-14586.8781570246,-14540.6900036439,
86,99.6000000000,100.4906626765,-0.8903313778,-4551.3398498416,-4559.0196034212,
87,99.7400000000,99.5907430135,0.1497279509,774.9368805370,938.3889283612,
88,96.6300000000,99.7307279665,-3.1003782930,-14417.9914247539,-14385.1647848578,
89,95.9400000000,96.6210119587,-0.6796256945,-3123.9706182231,-3131.6509779173,
90,96.0900000000,95.9310735825,0.1604204856,749.4983215735,720.8830593068,
91,96.6700000000,96.0810579134,0.5902681121,2840.5831181816,2852.0462029905,
92,96.4300000000,96.6610026117,-0.2299708773,-1109.0262759335,-1209.5022201711,
93,98.4500000000,96.4210229917,2.0299830861,10417.7055646712,10445.4323464663,
94,97.9100000000,98.4408346880,-0.5304208529,-2714.7009835711,-2693.7235421190,
95,97.5000000000,97.9008828503,-0.4004479348,-2046.1201663173,-1901.5101400308,
96,94.7700000000,97.4909190889,-2.7204725607,-12755.5624500567,-12694.3080635426,
97,93.5300000000,94.7611701337,-1.2299085002,-5585.7659103730,-5494.0465777065,
98,91.6500000000,93.5212834888,-1.8697182532,-7986.6086617293,-7897.6233140239,
99,89.7500000000,91.6414563067,-1.8892881470,-7581.7329062621,-7714.6113026973,
100,92.7600000000,89.7416311800,3.0211655210,13253.6970373310,13180.0332358126,
101,94.3200000000,92.7513507002,1.5705590034,7062.4793325723,7022.5819667638,
102,95.1500000000,94.3112046482,0.8404751719,3831.4049997859,3909.1877408503,
103,93.5300000000,95.1411263089,-1.6095757167,-7344.7581793594,-7380.7347290751,
104,94.2600000000,93.5212755042,0.7402355952,3439.6783085691,3341.6163243185,
105,96.2600000000,94.2512064780,2.0101301665,9490.2061209010,9466.2229525000,
106,96.7400000000,96.2510194031,0.4901833516,2332.3038024799,2313.6410956422,
107,97.1100000000,96.7309735821,0.3801548821,1823.8161517709,1731.3259515644,
108,98.9900000000,97.1009379993,1.8901096164,9008.3908440950,9170.9794672346,
109,95.6600000000,98.9807619505,-3.3196253636,-16387.8276980048,-16407.8986443900,
110,96.0400000000,95.6510707016,0.3896773206,1943.5342762834,2077.2512151443,
111,93.4900000000,96.0310342662,-2.5403834227,-12423.2006726612,-12352.0385045698,
112,92.1300000000,93.4812706969,-1.3504537467,-6475.7458328557,-6420.7538178549,
113,91.0700000000,92.1213964211,-1.0504067994,-4940.4187328398,-4952.7814951392,
114,91.3000000000,91.0614942751,0.2396676475,1146.9014952550,1135.4079163271,
115,91.5100000000,91.2914719615,0.2195258614,1067.8676282398,944.5439220835,
116,93.8500000000,91.5014515278,2.3493925863,12044.6847431047,12144.0256708217,
117,92.0400000000,93.8412325021,-1.8008579286,-9127.5831186363,-9122.5726915477,
118,91.9400000000,92.0314004609,-0.0909321753,-464.0856320809,-315.8917827260,
119,89.3000000000,91.9314089900,-2.6310047134,-12562.7169497566,-12553.5819542751,
120,89.1200000000,89.2916545334,-0.1706620920,-819.0712826046,-796.8988939251,
121,88.7000000000,89.1116706082,-0.4107286922,-1964.7588602458,-2089.8185231681,
122,91.0400000000,88.6917091089,2.3492577987,11924.9376915351,11749.0825029057,
123,94.2400000000,91.0314899849,3.2089567415,15944.4943166540,15862.4179889323,
124,95.8000000000,94.2311905341,1.5694754470,7446.8195098236,7409.8099702555,
125,96.5400000000,95.7910441677,0.7500876523,3497.1604301660,3553.5103529563,
126,95.3700000000,96.5309743631,-1.1596547116,-5680.3279089097,-5762.8283753329,
127,96.9800000000,95.3610829573,1.6197264011,7646.9685582490,7639.1723277458,
128,97.1300000000,96.9709319044,0.1602624882,760.7088417691,663.9428085958,
129,99.1200000000,97.1209172374,2.0002227435,9031.8807708811,9046.4394385934,
130,98.7900000000,99.1107306624,-0.3190326259,-1472.1095296463,-1400.1121518341,
131,97.2500000000,98.7807608631,-1.5293040736,-7415.7733624753,-7407.2893614680,
132,97.0700000000,97.2409041720,-0.1699820699,-834.5681156653,-794.4364535857,
