iteration,omega,theta,xi,rho,likelihood
0,0.2,1,0.5,-0.2,-31476.8
1,0.2,1,0.5,-0.2,-31476.8
2,1.2,1,0.5,-0.2,-25042.7
3,-1.41803,1,0.5,-0.2,73741.5
4,0.2,1,0.5,-0.2,-31476.8
5,-0.418034,1,0.5,-0.2,47100
6,0.581966,1,0.5,-0.2,-28021
7,0.357766,1,0.5,-0.2,-29813.9
8,-0.036068,1,0.5,-0.2,41235.3
9,0.10983,1,0.5,-0.2,-22832.5
10,0.260261,1,0.5,-0.2,-30818.6
11,0.165558,1,0.5,-0.2,-31786
12,0.144272,1,0.5,-0.2,-31867.5
13,0.134159,1,0.5,-0.2,-31840
14,0.145744,1,0.5,-0.2,-31867.1
15,0.144452,1,0.5,-0.2,-31867.5
16,0.144385,1,0.5,-0.2,-31867.5
17,0.144385,1,0.5,-0.2,-31867.5
18,0.144385,1,0.5,-0.2,-31867.5
19,0.144385,1,0.5,-0.2,-31867.5
20,0.144342,1,0.5,-0.2,-31867.5
21,0.144368,1,0.5,-0.2,-31867.5
22,0.144379,1,0.5,-0.2,-31867.5
23,0.144382,1,0.5,-0.2,-31867.5
24,0.144384,1,0.5,-0.2,-31867.5
25,0.144385,1,0.5,-0.2,-31867.5
26,0.144385,1,0.5,-0.2,-31867.5
27,0.144385,1,0.5,-0.2,-31867.5
28,0.144385,1,0.5,-0.2,-31867.5
29,0.144385,1,0.5,-0.2,-31867.5
30,0.144385,1,0.5,-0.2,-31867.5
31,0.144385,1,0.5,-0.2,-31867.5
32,0.144385,1,0.5,-0.2,-31867.5
33,0.144385,1,0.5,-0.2,-31867.5
34,0.144385,1,0.5,-0.2,-31867.5
35,0.144385,2,0.5,-0.2,-31603.7
36,0.144385,-0.618034,0.5,-0.2,-23675.6
37,0.144385,1,0.5,-0.2,-31867.5
38,0.144385,0.381966,0.5,-0.2,-30589.2
39,0.144385,1.38197,0.5,-0.2,-31986.3
40,0.144385,1.27945,0.5,-0.2,-31987.7
41,0.144385,1.32486,0.5,-0.2,-31989.7
42,0.144385,1.32409,0.5,-0.2,-31989.7
43,0.144385,1.32365,0.5,-0.2,-31989.7
44,0.144385,1.32364,0.5,-0.2,-31989.7
45,0.144385,1.32364,0.5,-0.2,-31989.7
46,0.144385,1.32364,0.5,-0.2,-31989.7
47,0.144385,1.32364,0.5,-0.2,-31989.7
48,0.144385,1.32364,0.5,-0.2,-31989.7
49,0.144385,1.32364,0.5,-0.2,-31989.7
50,0.144385,1.32364,0.5,-0.2,-31989.7
51,0.144385,1.32364,0.5,-0.2,-31989.7
52,0.144385,1.32364,0.5,-0.2,-31989.7
